id,old_id,cod_usuario,codTipoSol,id_sol,fecCreacionSol,horaCracionSol,yeard,pagoSolicitud,intermedioStatus,recepcionador,horaRecepcion,solicitudEncontrado,observacionNE,calificador,buscador,fechaDespacho,pagoSolicitud,tipoDocumento,numFolios,cantDocSolicita,fechaPreEntrega,HoraPreEntrega
,228,18484,1,23664,13/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,229,8541,1,23665,13/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,230,8541,1,23666,13/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,231,18732,1,23667,13/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,232,18732,1,23668,13/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,233,18733,1,23669,13/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,234,18733,1,23670,13/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,235,18734,1,23671,13/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,236,18735,1,23672,13/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,237,1032,1,23673,13/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,238,18737,1,23674,13/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,239,18738,1,23675,13/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,240,18736,1,23676,13/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,241,18739,1,23677,13/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,242,18728,1,23678,13/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,243,18739,1,23679,13/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,244,18728,1,23680,13/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,245,18740,1,23681,13/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,246,18739,1,23682,13/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,247,18741,1,23683,13/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,248,18742,1,23684,13/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,249,1393,1,23685,13/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,250,18743,1,23686,13/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,251,18744,1,23687,13/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,252,13243,1,23688,13/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,253,18745,1,23689,14/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,254,9505,1,23690,14/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,255,18746,1,23691,14/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,256,18747,1,23692,14/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,257,13789,1,23693,14/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,258,18748,1,23694,14/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,259,18749,1,23695,14/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,260,18750,2,2840,14/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,261,8541,1,23696,14/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,262,18751,1,23697,14/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,263,18752,2,2841,14/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,264,18753,1,23698,14/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,265,14597,1,23699,14/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,266,14834,1,23700,14/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,267,18685,1,23701,14/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,268,13618,1,23702,14/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,269,18755,1,23703,14/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,270,13784,1,23704,14/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,271,18592,1,23705,14/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,272,18756,1,23706,14/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,273,18758,1,23707,15/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,274,18758,1,23708,15/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,275,18759,1,23709,15/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,276,18760,1,23710,15/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,277,18761,1,23711,15/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,278,18762,1,23712,15/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,279,13026,1,23713,15/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,280,13026,1,23714,15/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,281,18763,2,2842,15/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,282,18763,2,2843,15/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,283,18764,1,23715,15/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,284,18765,1,23716,15/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,285,18766,1,23717,15/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,286,18766,1,23718,15/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,287,18767,1,23719,15/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,288,18768,1,23720,15/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,289,18770,1,23721,15/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,290,18771,1,23722,15/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
